,id,current_role,current_role_TEXT,role_in_turnover,experience_years,professional_background_TEXT,fleet_size,fleet_size_oo,fleet_vocation_mixed_use_TEXT,fleet_vocation_other_TEXT,in_chicago,ownership_model,percentage_company_owned,percentage_pre_2010,percentage_class_6,percentage_urban_logistics,turnover_priorities_TEXT,turnover_financial_TEXT,decision_tools_cost,decision_tools_maintenance,decision_tools_emissions,decision_tools_telematics,decision_tools_regulations,decision_tools_consulting,decision_tools_AI,decision_tools_other,decision_tools_other_TEXT,years_replacement,replacement_priority_TEXT,purchase_markets,purchase_markets_TEXT,replace_pre2010,expand_fleet,turnover_comments_TEXT,rank_support_financial,rank_support_technical,rank_support_infrastructure,rank_support_certifications,rank_support_other,rank_support_other_TEXT,innovation_ice,innovation_hybrid,innovation_bev,innovation_hydrogen,innovation_telematic,innovation_ai,innovation_route,innovation_other,innovation_other_TEXT,innovation_best_TEXT,innovation_worst_TEXT,renewal_barriers_TEXT,key_stakeholders_TEXT,influence_by_customers,influence_by_regulatory,influence_by_communities,influence_by_industry,influence_by_investors,influence_by_ngo,influence_by_other,influence_by_other_TEXT,influence_on_customers,influence_on_regulatory,influence_on_communities,influence_on_industry,influence_on_investors,influence_on_ngo,influence_on_other,influence_on_other_TEXT,turnover_comments_2_TEXT,additional_comments_TEXT,fleet_vocation_1,fleet_vocation_2,fleet_vocation_3,fleet_vocation_4,fleet_vocation_5,fleet_vocation_6,fleet_vocation_nan,region_1,region_2,region_3,region_4,region_5,region_6,region_nan,turnover_priorities_1,turnover_priorities_2,turnover_priorities_3,turnover_priorities_4,turnover_priorities_5,turnover_priorities_6,turnover_priorities_7,turnover_priorities_8,turnover_priorities_9,turnover_priorities_nan,turnover_financial_1,turnover_financial_10,turnover_financial_2,turnover_financial_3,turnover_financial_4,turnover_financial_5,turnover_financial_6,turnover_financial_7,turnover_financial_8,turnover_financial_9,turnover_financial_nan,replacement_priority_1,replacement_priority_2,replacement_priority_3,replacement_priority_4,replacement_priority_5,replacement_priority_6,replacement_priority_7,replacement_priority_8,replacement_priority_nan,renewal_barriers_1,renewal_barriers_10,renewal_barriers_11,renewal_barriers_2,renewal_barriers_3,renewal_barriers_4,renewal_barriers_5,renewal_barriers_6,renewal_barriers_7,renewal_barriers_8,renewal_barriers_9,renewal_barriers_nan,key_stakeholders_1,key_stakeholders_10,key_stakeholders_2,key_stakeholders_3,key_stakeholders_4,key_stakeholders_5,key_stakeholders_6,key_stakeholders_7,key_stakeholders_8,key_stakeholders_9,key_stakeholders_nan,oo_veh_char_3,oo_veh_char_nan,fleet_type,current_role_oo,current_role_oo_TEXT,oo_veh_char_1,oo_veh_char_2,oo_veh_char_4,source
10,d23de9ff,1,,1.0,4.0,"I have 3years experience as a truck driver, then 4years experience as a Uber driver before getting hired as a Operation manager for a logistics company with 9years experience now. I have B.sc as my highest level of education.",4.0,,,,,2.0,,83.0,80.0,74.0,,,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,Ads running ,8.0,,1.0,,1.0,,No,1.0,3.0,2.0,4.0,5.0,,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,Nil,Electric Vehicles ,AI,,,4.0,3.0,3.0,3.0,4.0,4.0,1.0,Admin,3.0,4.0,4.0,4.0,3.0,3.0,1.0,Admin,Impact of emissions standard- we need to take care of low-emission zone.,Nil,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0.0,1,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,> 100 vehicles,,,,,,Fleet managers
11,a733b948,2,,2.0,2.0,"I am a senior data analyst and I deal with all the data that is related to most processes. With my expertise, I am able to help in making data-driven decisions.",3.0,,,,1.0,3.0,75.0,10.0,9.0,60.0,,,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,,11.0,,1.0,,2.0,,Not really.,3.0,1.0,2.0,4.0,5.0,,3.0,3.0,3.0,2.0,3.0,3.0,3.0,,,PHEV battery trucks,Hydrogen cell trucks,,,2.0,3.0,1.0,3.0,4.0,3.0,,,3.0,2.0,4.0,3.0,4.0,3.0,,,"Based on the data that I have dealt with so far in our industry, I would say the major one is technical capability of most companies. There seems to be a number of companies that don't have the technical capacity to deal with most fleet turnover or renewal.",No.,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0.0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,1,1,0,1.0,0,0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1,< 100 vehicles,,,,,,Other
12,1ee9ca23,1,,2.0,3.0,"I have a background in logistics and transportation management, with over 7 years of experience in fleet operations. I hold a Bachelor's degree in Supply Chain Management and a certification in Fleet Management from the NAFA Fleet Management Association. In my previous roles, I have overseen vehicle procurement, route optimization, driver safety programs, and fuel efficiency initiatives.",4.0,,,,,3.0,60.0,30.0,70.0,55.0,,,4.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,Never,5.0,,3.0,,1.0,,Nothing,1.0,3.0,2.0,4.0,5.0,,2.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,Not likely,Transitioning to battery electric vehicles (BEVs) due to their growing infrastructure and environmental benefits.,"Replacing older ICE vehicles with newer ICE models, given the push for cleaner alternatives.",,,3.0,4.0,2.0,3.0,4.0,3.0,,,4.0,4.0,3.0,3.0,4.0,3.0,,,"One key aspect that is often not well understood within our organization and across the industry is the full lifecycle cost and benefits of newer vehicle technologies, including electric and hybrid models. While upfront costs are clear, the long-term savings, maintenance differences, and residual values are sometimes underestimated.","One suggestion I have is to increase industry collaboration to share best practices and lessons learned, especially regarding emerging technologies and infrastructure challenges.",0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,0.0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,> 100 vehicles,,,,,,Fleet managers
13,b60124d7,1,,2.0,1.0,I undertook the federal fleet manager certification program from the U.S. General Services Administration,2.0,,,,2.0,3.0,80.0,35.0,70.0,25.0,,,4.0,4.0,3.0,3.0,4.0,2.0,2.0,,,2.0,,3.0,,4.0,,,1.0,3.0,2.0,4.0,5.0,,2.0,1.0,1.0,2.0,3.0,2.0,3.0,,,AI in the analysis of vehicle use data ,Electric trucks ,,,3.0,4.0,3.0,4.0,4.0,4.0,,,3.0,4.0,4.0,4.0,,4.0,,,Regulatory factors ,,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,1,0,0,0.0,1,0,0,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1,< 100 vehicles,,,,,,Fleet managers
14,598aeafe,1,,1.0,3.0,Was employed in the family owned business for 3 years as practically fleet manager position/ warehouse main supervisor.  ,3.0,,,,,3.0,86.0,8.0,56.0,64.0,,,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,Employee input,,,3.0,,1.0,,The main challenges we see ahead is how or if at all the new tariff policy will affect how we have to make decisions regarding our fleet,1.0,4.0,2.0,3.0,5.0,,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,,AI technology,Gasoline engines,,,3.0,2.0,1.0,3.0,4.0,2.0,,,3.0,2.0,2.0,3.0,4.0,1.0,,,I beleaguered that regulatory are definitely not really looked at as a important aspect of fleet turnover,I really did enjoy yotlurvsurvey,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0.0,1,0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,< 100 vehicles,,,,,,Fleet managers
15,765b220d,1,,2.0,2.0,maintenance manager,3.0,,,,,3.0,80.0,15.0,60.0,30.0,,,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,,6.0,,3.0,,1.0,,no,1.0,3.0,2.0,4.0,5.0,,2.0,1.0,1.0,1.0,2.0,2.0,3.0,,,A.I,electric trucks,,,4.0,4.0,3.0,4.0,4.0,2.0,,,4.0,4.0,3.0,4.0,4.0,2.0,,,the duration a vehicle should be in service,no,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,1,0,0,0.0,0,1,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,< 100 vehicles,,,,,,Fleet managers
16,14bd89d4,1,,1.0,4.0,"i have acquired training in vehicle maintenance and repairs,safety and compliances,fleet operations and logistics,fleet management fundamentals ",4.0,,,,,1.0,,5.0,30.0,65.0,,,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,,10.0,,1.0,,1.0,,we don't have significant challenges ,3.0,1.0,2.0,4.0,5.0,,3.0,2.0,3.0,2.0,3.0,3.0,3.0,,,telematics and AI,5G connectivity ,,,3.0,3.0,3.0,4.0,4.0,3.0,,,4.0,3.0,4.0,4.0,4.0,3.0,,,none. i pretty get to understand everything ,none for now,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,> 100 vehicles,,,,,,Fleet managers
17,1f89b318,1,,2.0,2.0,"My background in fleet operations, transportation, and logistics include both formal education and hands -on experience. I have masters in business administration which provides me with a strong foundation in transportation systems ,cost analysis, and operational efficiency",3.0,,,,,1.0,,20.0,35.0,30.0,,,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,none,6.0,,3.0,,1.0,,No,1.0,3.0,2.0,4.0,5.0,none,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,none,Electric vehicles,Hydrogen fuel technology,,,4.0,4.0,3.0,3.0,3.0,4.0,1.0,none,4.0,4.0,4.0,4.0,4.0,4.0,1.0,none,none,no,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,1,0,0,1.0,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,< 100 vehicles,,,,,,Fleet managers
18,76694a5d,4,Property manager,1.0,3.0,"I have on the job experience of 5 years with my current company, managing a maintenance fleet for our sites across the region.   I am in charge of hiring of employees and oversee vehicle use and maintenance.",3.0,,,,,1.0,,27.0,6.0,54.0,,,2.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,,8.0,,3.0,,1.0,,,1.0,3.0,2.0,4.0,5.0,,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,,AI/Hybrid,,,,2.0,3.0,1.0,2.0,2.0,2.0,1.0,,1.0,3.0,1.0,2.0,2.0,2.0,1.0,,"The amount of time and maintenance done in house to keep the fleet moving, costs and overtime.",,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,0,1,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,< 100 vehicles,,,,,,Other
19,acdda5ca,4,construction company,1.0,5.0,All my experience has been on the job training,2.0,,Deliveries of materials and personal.,,,3.0,76.0,55.0,0.0,45.0,,,3.0,4.0,2.0,3.0,2.0,3.0,3.0,,,15.0,,3.0,,1.0,,none,1.0,3.0,2.0,4.0,5.0,,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,none,AI trip planning,tracking technologies,,,2.0,2.0,3.0,3.0,3.0,4.0,1.0,none,2.0,2.0,3.0,3.0,3.0,3.0,1.0,none,The overall treatment of the fleet. ,none,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,< 100 vehicles,,,,,,Other
20,63b2afdf,1,,2.0,2.0,"I have obtained a professional certificate in relation to fleet management and this has helped me to manage a couple of personal towards achieving greater success on how to be exceptional in this field thus, giving me leverage over this in recent years to become a manager because of my outstanding performance and output ",4.0,,,,,3.0,60.0,35.0,45.0,30.0,,,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,none,2.0,,3.0,,1.0,,none,3.0,2.0,1.0,4.0,5.0,,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,none,AI implementation,Hiring workmanship,,,3.0,4.0,3.0,3.0,4.0,3.0,1.0,none,3.0,3.0,2.0,3.0,2.0,3.0,1.0,none,none,none,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,1,0.0,0,0,1,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,> 100 vehicles,,,,,,Fleet managers
