source,comment,category1,category2
Owner-Operators,Regulation is constantly changing due to NYS regulations and laws.,Regulation,
Other,Maintenance costs ,Maintenance,Cost
Fleet managers,Cost and priority ,Cost,
Fleet managers,Maintenance costs,Maintenance,Cost
Other,I think Regulation. There are definitely a lot of regulations that I do not believe a lot of people form the outside looking in realize is there. ,Regulation,
Other,Our leadership has a hard time understanding day to day operations with the fleet vehicles. They dont fully understand how we use them as tools and acquire the right tools for the job.,Organization,Operations
Other,I feel there is no misunderstandings. Every aspect is carefully considered. ,None,
Other,"In my company, vehicles are purchased on an as-needed basis.  The primary considerations are the initial cost of the vehicle and the cost of maintenance/upkeep, and daily use.  I don't know that there is much need in my organization to understand beyond that.",Cost,
Fleet managers,"It is sometimes necessary to be LATER to new technology, waiting for competitors to test it and for prices to reduce before committing to switching to it",Technology,
Fleet managers,Turnover takes a lot of work and time. It has to be planned out to avoid as many disruptions as possible.,Organization,
Other,cost and need for new vehicles ,Cost,
Fleet managers,AI innovations,Technology,
Fleet managers,How well driver take care of trucks ,Maintenance,
Other,cost of training on new technologies,Cost,Technology
Other,The profit loss ,Cost,
Fleet managers,"How hard it is to purchase ambulances, especially post-COVID",Cost,
Fleet managers,Financial. Most do not know the money it takes to have and maintain a good fleet. ,Cost,
Other,used vehicle depreciation,Cost,
Other,High costs,Cost,
Fleet managers,"Total Cost of Ownership vs. Purchase Price

Most people still focus on the sticker price rather than the full lifecycle cost.

Poorly understood factors

Maintenance and downtime costs often exceed purchase price differences.

Fuel/energy costs across the vehicle’s lifetime are wildly underestimated.

Residual value (resale value) is rarely incorporated correctly.

Older vehicles cost more in unplanned downtime, but that cost is rarely tracked.

Fleets keep old vehicles “because they’re paid off,” even though they are more expensive to operate than new ones.",Cost,Maintenance
Fleet managers,Most people do not like having a tarcker.,Organization,Regulation
Owner-Operators,Regulation,Regulation,
Fleet managers,The work it takes to keep over 100+ vehicles in perfect rotation with operations and compliance schedules without hindering day to day operations.,Operations,
Fleet managers,Transition timing,Organization,
Owner-Operators,financial,Cost,
Other,"environmental impacts, green fleet technology",Environment,
Fleet managers,The logistics of it. ,Operations,
Other,I’m more involved in distribution and maintenance of the fleet which helps in its turnover. ,Maintenance,
Owner-Operators,"Our units are incredibly expensive ($130,000) and they take months to build. The have a very high resale value, but often we're forced to trade them in instead of doing private sale because we cant have a pause in operations.",Cost,
Other,no,None,
Other,Upfront costs with government budget,Cost,
Fleet managers,behavioral factors can have the greatest differential influence ,Organization,
Other,na,None,
Other,Upper management does not see the need to have ALL vehicles in proper working order as long as they “work” it’s fine,Organization,Maintenance
Other,"My organization tends to fall into a sunk cost fallacy of continuing to pay high maintenance costs for inefficient, outdated, or no longer roadworthy vehicles without consideration of the overall financial losses associated with maintaining insurance, tracking software, and risk of sending those vehicles out on the road. ",Cost,Maintenance
Owner-Operators," complicated technology.. complicated emissions ruling in the different states.. predatorial lease agreements unregulated.. qualified American CDL operators… compete against untrained semi operators  commercial vehicles not exceeding 80,000 pounds.. ",Technology,Regulation
Owner-Operators,"Poor quality parts, too much AI and computer reliance, too much electronics, high cost of purchases and maintenance. Make low cost simple and reliable vehicles that last long, instead of trying to make short term maximum profit out of truckers.",Technology,Maintenance
Owner-Operators,How unreliable and short lived the new technologies have been to date,Technology,
Owner-Operators,Cost,Cost,
Owner-Operators,Over regulation of small business trucking is ignored. The ELD mandate has created the most stressful anxiety producing headache I have ever dealt with. There is no way in hell that it makes me more safe. As a matter of fact I am quite sure that many drivers are less safe because of the ELD mandate ,Regulation,
Owner-Operators,Emissions standards that kill the trucks and cause more pollution than they fix. Def fluid for instance is ammonia burning ammonia causes more nox than it supposedly eliminates. So in turn killing trucks in the name of saving the environment to actually cause more harm.,Regulation,
Owner-Operators,cost,Cost,
Owner-Operators,Cost cost cost,Cost,
Owner-Operators,Financial ,Cost,
Owner-Operators,New equipment is too expensive and interest rates too high. Economic uncertainty prevents investment.,Cost,
Owner-Operators,Financial ,Cost,
Owner-Operators,Financial and Regulation and f.e.t tax,Cost,Regulation
Owner-Operators,Electric/cng,Technology,
Owner-Operators,Financial,Cost,
Owner-Operators,Lack of understanding the new technology,Technology,
Owner-Operators,New late model junk junk junk,Technology,
Owner-Operators,Operational ,Operations,
Owner-Operators,Well maintained older trucks put more money in the bank,Maintenance,
